44272240,7
1619098880,171
9468414,171
14174720,7
518389760,7
74055680,145
130746368,145
17000496,25
696339456,16
174084864,140
318326528,140
582082560,171
871421696,25
69713734,25
1427737088,49
58274982,144
310799616,248
320825344,148
554940928,145
63189682,25
12637935,16
808826880,172
1203835136,172
1791754496,16
447938624,172
666699264,172
992296448,25
79383714,36
1129012736,81
41815284,169
253365248,248
261538304,170
393845760,139
115461552,16
28865388,171
43213568,171
64693760,16
2070200320,16
258775040,25
20702002,49
324471552,142
584962560,228
656800000,24
290346112,16
72586528,184
100989952,184
140507648,25
11240610,25
230207488,49
9396224,121
59638272,138
110633216,148
191365376,144
221645204,16
55411300,171
82954752,171
124189440,217
124295450,16
23305395,212
28142336,64
112569344,16
14071168,16
450277376,175
332044928,16
83011232,138
153991680,138
285665536,25
22853242,25
468034048,49
19103430,121
121251072,138
224929280,148
389066752,24
18714732,16
898306560,16
224576640,172
334253568,172
497493504,256
497493504,16
62186688,16
1989974016,25
79598960,121
336815104,210
410593536,72
111239914,16
27809976,171
41633536,171
62328320,217
636060032,16
159015008,138
294984192,138
547216896,16
68402112,16
8550264,25
175109120,64
2101309440,254
2117854976,228
9288837,144
88038468,25
17607690,16
1126891520,172
1677233664,172
9751358,16
624086016,172
928872192,172
1382507264,25
110600580,36
1572985856,81
38839156,324
153437440,131
299847168,139
552236288,145
