1229099264,22
27934074,134
53366528,134
101953792,151
172848640,151
293041152,130
577065472,130
1136375040,151
1926569472,151
12758738,243
13441280,243
14160128,134
27052032,134
51681280,130
101772288,130
200412928,43
1193155840,230
1328034304,231
1471760896,43
34226997,168
52155392,245
54497024,17
820660992,232
905556736,154
1505340928,17
88549466,151
150123520,151
254513920,214
304465152,214
364219904,214
435702272,214
521213696,214
623507968,214
745878528,11
67807138,146
118894592,232
131193856,11
11926714,214
14267392,223
16378624,11
381175040,232
420606720,232
464117760,11
42192523,185
58385152,223
67024896,9
1906485760,232
2103708416,232
9067708,9
257925888,185
356913408,190
480893696,11
43717608,9
1243523072,139
8946209,139
16476416,239
17648128,11
410720000,9
45635555,201
58122752,135
110217728,239
118057472,11
10732497,7
392502528,250
401922560,145
709601024,7
101371574,250
103804416,145
183268352,11
16660759,7
609307648,250
623930880,145
1101560576,7
157365796,250
161142528,145
284499712,11
25863610,9
735675904,223
844542720,223
969519872,7
138502838,223
158998528,171
238032640,11
21639330,9
615518720,217
726141696,190
978380288,7
139768612,140
255576832,140
467340288,17
27490605,13
541353216,9
60150357,250
61593856,250
63072000,7
9010285,15
153775360,139
283212032,139
521598976,11
47418088,11
1103548160,201
1405513984,201
1790107136,229
2001167616,17
117715742,11
10701431,9
304396032,250
311701504,250
319182336,7
45597476,160
72955904,11
1697882624,11
154352965,195
202637568,250
207500800,175
303543808,13
23349523,11
543406848,7
77629549,146
136117504,244
142811648,7
20401664,11
474802176,183
664204032,208
817481728,9
90831303,241
96484608,241
102489856,13
2018261760,11
183478341,9
20386482,146
35746048,250
36603904,7
1338657024,144
9296229,9
264425984,7
37775140,250
38681600,250
39609856,137
55511616,11
1291906560,9
143545173,9
15949463,222
18392064,154
30573568,9
869648128,7
124235446,154
206521088,154
343307776,222
1073709056,6
1129799680,21
26899992,43
480446208,214
574739200,134
1098009088,43
76605285,170
115358464,163
181176320,39
13936638,130
27444224,154
45621504,103
340167936,243
358366208,214
428699648,131
837764096,47
17824768,223
20462336,223
23490304,43
139849216,168
213103360,168
324728832,219
1138775040,91
